Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
front-end-interview-handbook,2238,244,0,-1,MDX,0.90625
starship,1794,2531,124,-1,Rust,0.748913568324481
awesome-java,3522,677,0,-1,N/A,0.9921259842519685
json,3892,702,44,-1,C++,0.9661636945587563
type-challenges,1316,530,0,-1,TypeScript,0.1053478466635116
uni-app,2058,233,0,0,JavaScript,0.7963483146067416
python-patterns,4285,262,0,0,Python,0.8705882352941177
n8n,1713,5647,136,-1,TypeScript,0.8908594815825375
react-hook-form,1821,1896,543,-1,TypeScript,0.9992912827781715
manifesto,200,760,0,-1,HTML,0.4583333333333333
dbeaver,3053,4432,194,0,Java,0.8796307768554082
chakra-ui,1657,2257,1000,-1,MDX,0.930788949017374
free,1362,0,0,0,N/A,0.2927241962774958
phaser,3975,1651,148,-1,JavaScript,0.990857946554149
metabase,3314,19509,438,0,Clojure,0.7970062714471661
CPlusPlusThings,1691,62,0,0,C++,0.9672897196261683
iina,2628,609,43,0,Swift,0.5563646170442287
preact,3093,1592,199,-1,JavaScript,0.9134889015367103
tidb,3098,27115,186,-1,Go,0.7924463322236253
slate,3820,297,28,0,SCSS,0.9191419141914191
tutorials,3958,11143,0,-1,Java,0.9875862068965517
pyenv,4199,840,92,-1,Roff,0.9758823529411764
pure-bash-bible,2087,28,0,0,Shell,0.42857142857142855
acme.sh,2987,1276,41,-1,Shell,0.6837635869565217
ant-design-pro,2379,959,26,0,TypeScript,0.9966326423234768
alist,1163,504,107,-1,Go,0.9642384105960264
lx-music-desktop,1660,30,105,-1,TypeScript,0.6614810205351587
cobra,3831,567,21,-1,Go,0.8372302158273381
awesome-design-patterns,2096,30,0,-1,N/A,0.3333333333333333
jeecg-boot,1921,39,35,0,Java,0.9940652818991098
MPAndroidChart,3597,190,44,0,Java,0.5862701161132614
Deep-Learning-Papers-Reading-Roadmap,2694,28,0,-1,Python,0.07547169811320754
cheat.sh,2488,122,0,-1,Python,0.5291666666666667
kong,3390,5378,137,0,Lua,0.990638895389656
php-src,4641,2147,0,-1,C,0.7844463229078613
video.js,5039,1692,304,0,JavaScript,0.9079530136722511
yuzu,2248,6468,0,-1,C++,0.6794144556267154
black,2178,1402,39,-1,Python,0.8615506329113924
esbuild,2816,226,278,0,Go,0.8858024691358025
PaddleOCR,1392,2282,8,0,Python,0.8803889409559512
awesome-cheatsheets,2303,163,0,-1,JavaScript,0.6493506493506493
freecodecamp.cn,2708,55,0,0,CSS,0.761986301369863
tabler,2219,462,42,0,HTML,0.9317129629629629
bert,1952,32,0,-1,Python,0.31040564373897706
ColossalAI,854,3115,35,0,Python,0.7759418374091209
prisma,1715,5035,182,-1,TypeScript,0.6998976458546571
wrk,4363,0,0,0,C,0.6541353383458647
sentry,4930,48426,125,-1,Python,0.8259431432147327
Open-Assistant,443,1616,127,-1,Python,0.8647166361974405
screenshot-to-code,107,29,0,-1,TypeScript,0.5813953488372093
styleguide,3207,155,0,-1,HTML,0.39570552147239263
manifesto,200,760,0,-1,HTML,0.4583333333333333
dbeaver,3053,4432,194,0,Java,0.8796307768554082
chakra-ui,1657,2257,1000,-1,MDX,0.930788949017374
free,1362,0,0,0,N/A,0.2927241962774958
phaser,3975,1651,138,-1,JavaScript,0.990857946554149
metabase,3314,19509,438,0,Clojure,0.7970062714471661
CPlusPlusThings,1691,62,0,0,C++,0.9672897196261683
interview_internal_reference,1725,35,0,0,Python,0.4
iina,2628,609,43,0,Swift,0.5563646170442287
preact,3093,1592,199,-1,JavaScript,0.9134889015367103
tidb,3098,27115,186,-1,Go,0.7924463322236253
slate,3820,297,28,0,SCSS,0.9191419141914191
tutorials,3958,11143,0,-1,Java,0.9875862068965517
reactjs-interview-questions,2100,133,0,-1,JavaScript,0.9072164948453608
pyenv,4199,840,92,-1,Roff,0.9758823529411764
pure-bash-bible,2087,28,0,0,Shell,0.42857142857142855
acme.sh,2987,1276,41,-1,Shell,0.6837635869565217
ant-design-pro,2379,959,26,0,TypeScript,0.9966326423234768
alist,1163,504,107,-1,Go,0.9642384105960264
zju-icicles,2802,205,0,0,HTML,0.8857142857142857
lx-music-desktop,1660,30,105,-1,TypeScript,0.6614810205351587
cobra,3831,567,21,-1,Go,0.8372302158273381
awesome-design-patterns,2096,30,0,-1,N/A,0.3333333333333333
lerna,3009,931,232,0,TypeScript,0.8676298320968372
v,1847,10023,191,-1,V,0.892305807400147
Made-With-ML,1942,147,0,0,Jupyter Notebook,0.875
og-aws,2787,498,0,-1,Shell,0.3805309734513274
JavaFamily,1570,2,0,0,N/A,0.9836065573770492
python-cheatsheet,2226,14,0,-1,Python,0.9230769230769231
stablediffusion,462,18,0,-1,Python,0.2454212454212454
fullPage.js,3814,301,90,0,JavaScript,0.9587959536146065
gorm,3779,680,2,0,Go,0.9486899563318777
deeplearningbook-chinese,2640,16,7,0,TeX,0.6831683168316832
wtfpython,2376,97,2,0,Python,0.6595744680851063
cli,1610,1996,127,-1,Go,0.8685586258401793
koa,3876,475,0,0,JavaScript,0.9600886917960089
leveldb,3473,61,21,0,C++,0.7171853856562923
hackathon-starter,3760,323,15,0,JavaScript,0.9922839506172839
MetaGPT,244,412,16,-1,Python,0.45429362880886426
English-level-up-tips,2466,24,0,0,HTML,0.723404255319149
shadowsocks-android,4092,252,184,0,Kotlin,0.9798549556809025
lottie-android,2701,651,48,-1,Java,0.9910661107802263
nativefier,3161,261,99,-1,TypeScript,0.7932148626817448
shellcheck,4121,274,28,0,Haskell,0.629222309505106
istio,2658,24215,328,0,Go,0.9723563431845917
hello-algorithm,1371,26,0,0,Java,0.7804878048780488
fuels-rs,850,678,83,-1,Rust,0.9
DragGAN,287,18,0,-1,Python,0.24861878453038674
Docker-OSX,1365,98,0,-1,Shell,0.44815465729349735
node-v0.x-archive,5391,218,0,0,N/A,1.0
TaskMatrix,364,21,0,0,Python,0.38439306358381503
vim,3117,321,0,0,Vim Script,0.8271940028434794
fanqiang,3333,3,2,0,Kotlin,0.5908479138627187
taro,2153,3011,167,0,TypeScript,0.8961633899599161
diagrams,1488,254,40,-1,Python,0.3924843423799583
arthas,2010,508,52,0,Java,0.8576642335766423
sheetjs,4105,106,0,0,N/A,0.9509228187919463
glide,3887,533,47,0,Java,0.8890410958904109
GFPGAN,1077,14,8,-1,Python,0.2773892773892774
fuels-ts,909,985,97,-1,TypeScript,0.8837209302325582
the-way-to-go_ZH_CN,3994,592,0,0,Go,0
awesome-react-native,3262,912,0,0,JavaScript,0.49295774647887325
aspnetcore,3642,15036,210,-1,C#,0.91072853372614
caffe,3822,1087,14,0,C++,0.8130217028380634
